E-MBT;E-BSL;E-GER;CO2rate;;G-AVE
109.8069397;31.45755452;62.48444034;0.005580387;;37.0286642
109.8069397;39.88096015;62.48444034;0.007635939;;37.0286642
109.8069397;39.88096015;39.88096015;0.005692924;;36.63691163
109.8069397;39.88096015;39.88096015;0.006158839;;35.91215437
109.8069397;39.88096015;39.88096015;0.005589134;;35.85134461
108.6614852;15.594645;39.532089;0.004747935;;35.1640719
109.1010528;15.594645;39.532089;0.003324801;;35.85134461
100.309696;20.05232324;39.532089;0.000728023;;35.85134461
100.309696;15.594645;39.532089;0.000662527;;35.85134461
100.309696;15.594645;39.532089;0.000674177;;35.85134461
100.309696;15.594645;39.532089;0.000629895;;35.85134461
102.2412163;15.594645;39.532089;0.000630497;;35.85134461
109.8069397;15.594645;39.532089;0.003109199;;37.0286642
109.8069397;15.594645;39.532089;0.00420484;;37.0286642
109.8069397;15.594645;39.532089;0.003786013;;36.99773637
109.8069397;15.594645;39.532089;0.003345833;;36.99773637
109.8069397;15.594645;39.532089;0.003296935;;36.99773637
109.8069397;15.594645;39.532089;0.002830188;;36.99773637
109.8069397;15.594645;39.532089;0.003029046;;37.0286642
109.8069397;15.594645;71.54846016;0.006810469;;37.0286642
109.8069397;62.48444034;71.54846016;0.010745056;;37.0286642
110.4598607;62.48444034;71.54846016;0.011234312;;37.0286642
110.4598607;62.48444034;71.54846016;0.009876805;;37.0286642
110.4598607;62.48444034;71.54846016;0.009723935;;37.0286642
110.4598607;62.48444034;71.54846016;0.009419244;;37.0286642
110.4598607;49.54033867;71.54846016;0.009256053;;37.0286642
110.4598607;49.54033867;56.79155453;0.006977728;;35.91215437
110.4598607;49.54033867;56.79155453;0.004505931;;35.85134461
110.4598607;49.54033867;56.79155453;0.004446048;;35.7760719
110.4598607;56.79155453;56.79155453;0.005912116;;35.85134461
109.8069397;56.79155453;56.79155453;0.00654349;;35.85134461
109.8069397;56.79155453;56.79155453;0.00994072;;35.85134461
109.8069397;71.54846016;71.54846016;0.017187067;;35.85134461
109.8069397;93.109696;93.109696;0.026429589;;35.85134461
109.8069397;108.2090015;108.2090015;0.059859859;;36.91526214
109.8069397;109.8069397;109.8069397;0.118978704;;37.0286642
109.8069397;109.8069397;109.8069397;0.180594587;;37.0286642
110.4598607;110.4598607;110.4598607;0.182820716;;37.0286642
109.8069397;109.8069397;109.8069397;0.157037926;;37.0286642
109.8069397;109.8069397;109.8069397;0.13278612;;37.0286642
109.8069397;109.8069397;109.8069397;0.125543562;;37.0286642
109.8069397;109.8069397;109.8069397;0.128371176;;37.0286642
109.8069397;109.8069397;109.8069397;0.143191863;;37.0286642
109.8069397;109.8069397;109.8069397;0.187472304;;37.0286642
110.4598607;110.4598607;110.4598607;0.231166743;;37.0286642
110.4598607;110.4598607;110.4598607;0.230216186;;37.0286642
110.4598607;110.4598607;110.4598607;0.172540621;;37.0286642
110.4598607;110.4598607;110.4598607;0.136174604;;37.0286642
110.4598607;110.4598607;110.4598607;0.236665377;;37.0286642
110.4598607;110.4598607;110.4598607;0.260907777;;37.0286642
110.4598607;110.4598607;110.4598607;0.223464827;;37.0286642
109.8069397;109.8069397;109.8069397;0.231675838;;37.0286642
109.8069397;109.8069397;109.8069397;0.219636475;;37.0286642
109.8069397;109.8069397;109.8069397;0.299973874;;37.0286642
109.8069397;109.8069397;109.8069397;0.299978383;;37.0286642
109.8069397;109.8069397;109.8069397;0.299978383;;37.0286642
109.8069397;109.8069397;109.8069397;0.285716802;;37.0286642
109.8069397;109.8069397;109.8069397;0.299978383;;37.0286642
109.8069397;109.8069397;109.8069397;0.299978383;;37.0286642
109.8069397;109.8069397;109.8069397;0.299978383;;37.0286642
109.8069397;109.8069397;109.8069397;0.254455139;;37.0286642
109.8069397;109.8069397;109.8069397;0.212370994;;37.0286642
109.8069397;109.8069397;109.8069397;0.163323278;;37.0286642
109.8069397;109.8069397;109.8069397;0.119611605;;37.0286642
109.8069397;108.398005;108.398005;0.058733471;;37.0286642
109.8069397;93.109696;93.109696;0.018527016;;37.0286642
109.8069397;98.79526875;98.79526875;0.018939179;;37.0286642
109.8069397;109.8069397;109.8069397;0.073927877;;37.0286642
109.8069397;109.1024723;109.1024723;0.075663083;;37.0286642
109.8069397;109.1024723;109.1024723;0.107629678;;37.0286642
109.8069397;109.8069397;109.8069397;0.129173576;;37.0286642
109.8069397;109.8069397;109.8069397;0.154893893;;37.0286642
109.8069397;109.8069397;109.8069397;0.082002112;;37.0286642
109.8069397;71.54846016;71.54846016;0.019681416;;37.0286642
109.8069397;71.54846016;71.54846016;0.012490371;;35.91215437
109.8069397;39.532089;39.532089;0.004164907;;35.85134461
100.309696;39.532089;39.532089;0.000701754;;35.85134461
106.024078;39.532089;39.532089;0.000716128;;35.85134461
94.595314;31.17845761;39.532089;0.000613362;;35.85134461
76.44652777;39.532089;39.532089;0.000462914;;35.85134461
76.44652777;39.532089;39.532089;0.000510097;;35.71325495
76.44652777;39.532089;39.532089;0.000451127;;35.85134461
76.44652777;39.532089;39.532089;0.000454464;;35.85134461
76.44652777;15.594645;39.532089;0.000419801;;37.0286642
85.09807031;15.594645;39.532089;0.000436794;;37.0286642
109.8069397;15.594645;39.83970569;0.003178227;;37.0286642
106.024078;15.594645;39.532089;0.000535694;;37.0286642
100.309696;15.594645;39.532089;0.000525079;;37.0286642
100.309696;15.594645;39.532089;0.000496782;;37.0286642
100.309696;15.594645;39.532089;0.000504019;;37.0286642
100.309696;15.594645;39.532089;0.000486884;;37.0286642
109.8069397;15.594645;39.532089;0.002747993;;37.0286642
109.8069397;15.594645;39.532089;0.004727173;;37.0286642
109.8069397;63.84182865;63.84182865;0.007717797;;37.0286642
109.8069397;71.54846016;71.54846016;0.011329806;;37.0286642
109.8069397;109.1024723;109.1024723;0.049622257;;37.0286642
109.8069397;109.1024723;109.1024723;0.128397024;;37.0286642
109.8069397;109.1024723;109.1024723;0.18028662;;37.0286642
109.1024723;109.1024723;109.1024723;0.169412873;;37.0286642
109.1024723;109.1024723;109.1024723;0.16107996;;37.0286642
108.2090015;108.2090015;108.2090015;0.158793941;;36.49258173
94.00145432;94.00145432;94.00145432;0.043170889;;35.85134461
71.54846016;71.54846016;71.54846016;0.018645837;;35.85134461
54.82935522;54.82935522;54.82935522;0.009605275;;35.85134461
43.81390537;43.81390537;43.81390537;0;;35.85134461
43.81390537;39.83970569;39.83970569;0;;35.85134461
43.81390537;39.83970569;39.83970569;0;;35.85134461
43.81390537;39.83970569;39.83970569;0;;37.0286642
